0.290	1
0.640	2
1.000	3
1.350	4
1.700	1
2.050	2
2.400	3
2.750	4
3.100	1
3.450	2
3.810	3
4.150	4
4.510	1
4.860	2
5.210	3
5.560	4
5.910	1
6.260	2
6.610	3
6.970	4
7.320	1
7.670	2
8.020	3
8.370	4
8.720	1
9.070	2
9.430	3
9.770	4
10.130	1
10.470	2
10.820	3
11.170	4
11.530	1
11.870	2
12.230	3
12.580	4
12.930	1
13.280	2
13.630	3
13.980	4
14.330	1
14.680	2
15.040	3
15.390	4
15.740	1
16.090	2
16.440	3
16.790	4
17.140	1
17.490	2
17.840	3
18.200	4
18.550	1
18.900	2
19.250	3
19.600	4
19.960	1
20.300	2
20.660	3
21.010	4
21.370	1
21.710	2
22.060	3
22.410	4
22.770	1
23.110	2
23.470	3
23.820	4
24.170	1
24.510	2
24.870	3
25.210	4
25.570	1
25.910	2
26.270	3
26.620	4
26.980	1
27.320	2
27.670	3
28.020	4
28.370	1
28.730	2
29.080	3
29.430	4
29.770	1
