0.040	3
0.380	1
0.710	2
1.050	3
1.390	1
1.730	2
2.070	3
2.410	1
2.740	2
3.080	3
3.420	1
3.750	2
4.070	3
4.410	1
4.740	2
5.070	3
5.390	1
5.720	2
6.040	3
6.380	1
6.710	2
7.050	3
7.380	1
7.710	2
8.030	3
8.360	1
8.710	2
9.050	3
9.390	1
9.720	2
10.060	3
10.380	1
10.720	2
11.060	3
11.390	1
11.720	2
12.050	3
12.390	1
12.720	2
13.050	3
13.400	1
13.730	2
14.070	3
14.400	1
14.750	2
15.070	3
15.400	1
15.730	2
16.060	3
16.380	1
16.710	2
17.060	3
17.390	1
17.730	2
18.050	3
18.390	1
18.720	2
19.050	3
19.380	1
19.710	2
20.040	3
20.390	1
20.720	2
21.060	3
21.380	1
21.720	2
22.050	3
22.370	1
22.720	2
23.050	3
23.390	1
23.720	2
24.050	3
24.400	1
24.730	2
25.070	3
25.400	1
25.730	2
26.060	3
26.400	1
26.730	2
27.060	3
27.380	1
27.710	2
28.060	3
28.400	1
28.730	2
29.070	3
29.400	1
29.730	2
30.050	3
30.370	1
