0.340	1
0.770	2
1.200	3
1.640	4
2.080	1
2.520	2
2.970	3
3.390	4
3.830	1
4.290	2
4.730	3
5.200	4
5.640	1
6.070	2
6.530	3
6.960	4
7.380	1
7.810	2
8.260	3
8.680	4
9.110	1
9.560	2
10.000	3
10.430	4
10.880	1
11.320	2
11.770	3
12.210	4
12.630	1
13.080	2
13.520	3
13.950	4
14.410	1
14.850	2
15.270	3
15.730	4
16.150	1
16.600	2
17.020	3
17.470	4
17.900	1
18.330	2
18.750	3
19.190	4
19.620	1
20.060	2
20.480	3
20.940	4
21.370	1
21.800	2
22.260	3
22.680	4
23.130	1
23.580	2
24.000	3
24.450	4
24.890	1
25.340	2
25.780	3
26.210	4
26.640	1
27.100	2
27.530	3
27.980	4
28.420	1
28.830	2
29.280	3
29.700	4
