0.650	4
1.420	1
2.220	2
3.000	3
3.790	4
4.590	1
5.390	2
6.210	3
6.860	4
7.460	1
8.080	2
8.680	3
9.290	4
9.880	1
10.480	2
11.070	3
11.650	4
12.230	1
12.810	2
13.390	3
13.980	4
14.560	1
15.170	2
15.760	3
16.360	4
16.960	1
17.370	2
17.800	3
18.230	4
18.680	1
19.080	2
19.480	3
19.890	4
20.280	1
20.690	2
21.090	3
21.480	4
21.890	1
22.290	2
22.670	3
23.070	4
23.460	1
23.850	2
24.230	3
24.630	4
25.030	1
25.410	2
25.810	3
26.200	4
26.600	1
26.990	2
27.380	3
27.780	4
28.170	1
28.570	2
28.950	3
29.340	4
29.720	1
